id,task,truth
0,"Does the following tweet have positive sentiment to the Apple company ? 
@ford should have teamed up with @Apple instead of @microsoft to make this SYNC system in my new focus. 
Car is sweet SYNC is #EpicFail",0
1,"Does the following tweet have positive sentiment to the Google company ? 
Dear #Google, I want the Galaxy Nexus NOW. Please send it to me by email or something - I know you have the technology",1
2,"Does the following tweet have positive sentiment to the Microsoft company ? 
Awesome! @TommyLee is moving to #Vancouver as Dev Evangelist for #Microsoft - we finally get a local",1
3,"Does the following tweet have positive sentiment to the Apple company ? 
Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)",1
4,"Does the following tweet have positive sentiment to the Microsoft company ? 
Totally unproductive day with no access to #Microsoft Excel or Word, aaargh! Will be working late tonight after hubby fixes. #fingerscrossed",0
5,"Does the following tweet have positive sentiment to the Microsoft company ? 
Wow. Lots of negative comments about #windows8 on the @BuildWindows8 blog. I sure hope #Microsoft is listening #keepthedesktop",0
6,"Does the following tweet have positive sentiment to the Apple company ? 
@apple your simply the best.",1
7,"Does the following tweet have positive sentiment to the Microsoft company ? 
RT @InformationWeek: Reader 'Tronman' compares #SteveBallmer to an albatross around #Microsoft's neck.  Do you agree?  Join the discu...",0
8,"Does the following tweet have positive sentiment to the Google company ? 
#Samsung, #Google Unveil Phone http://t.co/hOB37hbO",0
9,"Does the following tweet have positive sentiment to the Google company ? 
Better gallery app to be included with Android 4.0 as well. #Google #Android #ICS",1
10,"Does the following tweet have positive sentiment to the Microsoft company ? 
Microsoft Stores offer up free Windows Phone 7 devices #microsoft #microsoftstores http://t.co/xoLRaueY #microsoft",1
11,"Does the following tweet have positive sentiment to the Apple company ? 
has been on terminal hold with @apple support!  She must not be the only person having trouble with the new iphone and synching!",0
12,"Does the following tweet have positive sentiment to the Microsoft company ? 
#Microsoft, #Adobe lose $13.5bn to piracy: Report http://t.co/x4yWfNSV",0
13,"Does the following tweet have positive sentiment to the Apple company ? 
I sure as hell better be able to restore my calendar events. Terrible bug apple! @apple #icloud #anothericloudfail",0
14,"Does the following tweet have positive sentiment to the Microsoft company ? 
V. impressed w/ Image Composite Editor from @MSFTresearch for creating panoramas from individual images. http://t.co/SO7W7spn Tx #Microsoft!",1
15,"Does the following tweet have positive sentiment to the Apple company ? 
你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  ",1
16,"Does the following tweet have positive sentiment to the Twitter company ? 
#twitter i love you!",1
17,"Does the following tweet have positive sentiment to the Apple company ? 
@jonsibley Actually, the @Apple  mouse is pretty sweet man.",1
18,"Does the following tweet have positive sentiment to the Apple company ? 
@APPLE Wow @MOTOROLA Just crushed your dreams....",0
19,"Does the following tweet have positive sentiment to the Apple company ? 
After a week or so with @Apple's #iOS5 I'm considering going back to #jailbroken 4.2 - same features as 5, plus more. Not as stable, though.",0
