id,task,truth
0,"Does the following tweet have positive sentiment to the Twitter company ? 
Tried explaining #Twitter to my mom, but her ""why would you want to do that?"" argument was pretty bulletproof. #igiveup",0
1,"Does the following tweet have positive sentiment to the Microsoft company ? 
Really hate the #Microsoft #mcp site",0
2,"Does the following tweet have positive sentiment to the Twitter company ? 
@Licia0321 Damn what the hell, I think my #Twitter might need a damn #Exorcist!!",0
3,"Does the following tweet have positive sentiment to the Apple company ? 
Been off twitter for a few days as I smashed my iPhone but @apple were very nice and gave me a new one :)",1
4,"Does the following tweet have positive sentiment to the Google company ? 
Presentation fail. #Google #Samsung",0
5,"Does the following tweet have positive sentiment to the Twitter company ? 
Apples to oranges maybe, but #Twitter is way more engaging than #FB. Content vs. Stalkerismo",1
6,"Does the following tweet have positive sentiment to the Microsoft company ? 
#Microsoft Lync crash issue on #Mac OS X 10.7.2 [Fixed] - http://t.co/rzucFejc",0
7,"Does the following tweet have positive sentiment to the Microsoft company ? 
Is #Google Down? http://t.co/wFrzKYsN via @Ejunkie Good for #Bing, #Microsoft ’s investments paying off",1
8,"Does the following tweet have positive sentiment to the Microsoft company ? 
When #Microsoft ""violated U.S. antitrust laws""—leaving #Netscape out of business & #Novell wounded—it played ""dumb"". http://t.co/0WHHmAK4",0
9,"Does the following tweet have positive sentiment to the Apple company ? 
@apple took my Siri and made it exclusive to iPhone 4S  #SoRude",0
10,"Does the following tweet have positive sentiment to the Apple company ? 
@bkad5161 than apologize to @apple ;)",1
11,"Does the following tweet have positive sentiment to the Apple company ? 
Smashed yet another #iPhone screen. When are @apple gonna make the phone more durable!!! Tired of fixing it myself!!!",0
12,"Does the following tweet have positive sentiment to the Apple company ? 
@apple  why don't you guys test your upgrades before you put them out. 15 1/2 hrs u guys wasted of my time yesterday. Thanks.",0
13,"Does the following tweet have positive sentiment to the Apple company ? 
ugh! @apple, you’re reservation page for the iPhone is NOT working.",0
14,"Does the following tweet have positive sentiment to the Apple company ? 
Amazing new @Apple iOs 5 feature.  http://t.co/jatFVfpM",1
15,"Does the following tweet have positive sentiment to the Twitter company ? 
#stupid fucking #Twitter #Twitterapp give me my Damn #mentions NOOWWWWWW!!!!! UGH! #DRAWLIN AS ALWAYS #TMW #PROMOALLDAY #FOLLOWLIMITISGAY TO",0
16,"Does the following tweet have positive sentiment to the Apple company ? 
@Apple #iOS5 NONSTOP DROPPED CALLS&MUTE BUTTON RANDOMLY ACTIVATING&PERSON CANT HEAR ME, PULL PHONE FROM EAR TO BE ON A ""MOBILE ME"" SCREEN",0
17,"Does the following tweet have positive sentiment to the Google company ? 
Ice Cream Sandwich's Face Unlock really works! http://t.co/2SjN2BzZ #icecreamsandwich #google #galaxynexus",1
18,"Does the following tweet have positive sentiment to the Apple company ? 
Hey @apple, if you send me a free iPhone (any version will do), I will publicly and ceremoniously burn my #BlackBerry.",1
19,"Does the following tweet have positive sentiment to the Apple company ? 
It would be great If @Apple would send my new phone. #frustrated",0
20,"Does the following tweet have positive sentiment to the Apple company ? 
@apple, 
No, I won't wait until thursday for an available appointment just so a 'genius' can tell me I'm shit out of luck. #now",0
21,"Does the following tweet have positive sentiment to the Microsoft company ? 
How #Apple eclipsed #Microsoft. http://t.co/WU9bFI1h",0
22,"Does the following tweet have positive sentiment to the Microsoft company ? 
How #apple eclipsed #microsoft http://t.co/4bWXJaDg by @charlesarthur #business @guardian",0
23,"Does the following tweet have positive sentiment to the Twitter company ? 
#twitter :)",1
24,"Does the following tweet have positive sentiment to the Apple company ? 
Houston we have a problem!! My iPad has been restoring for 12+ hours after installing @apple IOS5. This can't be right....",0
25,"Does the following tweet have positive sentiment to the Apple company ? 
Clarence Thomas must have designed the new OSX lion, tossing decades of workflow standards, @apple bring back “save as”! #autoSaveSucks",0
26,"Does the following tweet have positive sentiment to the Twitter company ? 
#Twitter, will you please fix this RT problem?",0
27,"Does the following tweet have positive sentiment to the Microsoft company ? 
@theresamarosy bc #IE , like everything #Microsoft makes is junk and super prone to crashing.",0
28,"Does the following tweet have positive sentiment to the Twitter company ? 
#Twitter is interesting 24hrs a day. #Facebook is interesing 2hrs a day.",1
29,"Does the following tweet have positive sentiment to the Twitter company ? 
#Twitter &gt; #Facebook",1
30,"Does the following tweet have positive sentiment to the Apple company ? 
@apple: Multiple times siri is ""having trouble connecting to the network.""  Siri needs servers (and some exercise!)",0
31,"Does the following tweet have positive sentiment to the Microsoft company ? 
Another Gem from #Microsoft - Curate your personal history with  ""Project Greenwich"".  Available later this month. http://t.co/KgNrbVgp",1
32,"Does the following tweet have positive sentiment to the Twitter company ? 
Well... @Paging_Dr_A has gotten back on #twitter.. there goes my TL lol",0
33,"Does the following tweet have positive sentiment to the Apple company ? 
@apple..good ipad",1
34,"Does the following tweet have positive sentiment to the Google company ? 
Me too RT @MohamedG: Exciting day, It's Ice cream Sandwich day ;) #Google #Android",1
35,"Does the following tweet have positive sentiment to the Microsoft company ? 
#Skype is underwhelming: I use skype. It was recently bought by #Microsoft for  $8.5 billion. As such it has a v... http://t.co/Xli2bR42",0
36,"Does the following tweet have positive sentiment to the Twitter company ? 
WHY DFF IS #TWITTER STILL LAGGIN ON SHOWIN WHO RETWEETS UR SHITT",0
